id,kda_ratio
612_17,4100.762889
613_30,2629.398039
616_59,2580.157786
621_86,2572.697559
626_65,4034.324161
630_93,3956.018241
633_14,2441.414846
634_34,4202.305226
638_61,2890.3506
639_11,2947.350645
645_82,2976.332657
647_79,2736.268643
654_39,4564.337083
655_74,3483.279872
657_28,3072.620787
669_44,3658.294318
670_41,2985.41896
671_93,4356.812005
676_34,3969.153758
677_7,2963.61292
678_111,2889.818792
680_93,3640.276068
687_25,2854.752069
689_8,3907.490059
691_33,3224.653891
693_21,3327.46279
696_33,3639.385379
708_104,2651.818184
709_86,2265.934855
711_40,2976.305951
716_6,3224.738532
718_26,2381.246216
726_11,3170.506264
728_39,4674.279823
729_102,3622.905244
734_17,3222.935622
736_74,3354.090273
737_86,2417.368721
744_12,4065.378254
749_88,2841.597337
754_93,4105.289993
755_36,3174.44461
757_11,2874.188285
761_120,3643.646863
762_9,3711.645215
766_39,4459.889717
771_7,2720.968777
772_36,3360.943122
779_13,3178.708011
780_106,4437.541747
781_70,3546.850234
782_55,3761.861512
802_31,3573.956785
803_74,3924.735216
805_93,4354.330786
806_106,4100.284125
811_63,3991.952559
812_73,3769.59962
815_13,4916.172316
820_7,3018.046797
830_29,2974.544293
834_11,2864.942231
836_93,3690.941712
837_9,3469.610371
839_44,3932.861723
841_107,3455.617905
844_86,2533.478796
849_36,3154.865288
850_82,3193.250586
854_76,3338.262613
864_5,2589.333942
872_13,4060.904948
875_6,2984.663841
877_74,3919.945342
878_71,2820.437158
884_53,3522.985077
889_97,3215.723139
891_69,3165.139226
892_75,2721.881803
893_7,2922.640171
895_70,2810.287655
897_54,4583.543962
899_10,4262.168322
908_88,2963.826731
910_74,4047.189306
913_14,2822.097673
916_8,3695.633633
917_10,4444.386523
918_35,3495.62027
922_69,3049.699989
925_106,4814.082777
926_101,2599.794311
931_18,3888.640643
932_57,2827.730337
934_57,2411.546657
942_17,3882.139819
946_97,3092.422013
952_93,3645.086882
955_10,4513.839589
958_62,3389.906843
961_87,2954.232783
962_39,3257.263821
965_26,1800.953075
966_69,3408.687504
969_74,5084.828649
985_86,2303.341899
996_8,4646.228753
1008_74,3835.076969
1017_37,2986.344418
1018_62,3587.02177
1023_74,4134.415007
1030_69,3148.353851
1031_95,3773.955739
1033_51,2871.10739
1034_75,3305.32323
1037_76,3304.900058
1038_74,3064.73326
1040_71,2949.322617
1042_17,3804.119047
1045_17,3841.024746
1050_34,3541.648713
1059_11,2520.452999
1066_70,3863.907397
1067_14,3251.049547
1072_71,2822.221845
1076_34,3661.241207
1077_31,2828.519579
1080_5,2209.579153
1082_16,3135.821327
1085_93,4024.360205
1086_88,2850.637594
1088_17,4303.835516
1092_76,3259.215048
1094_61,3553.590968
1095_77,5706.850601
1106_110,3647.621969
1110_17,4402.247035
1112_101,3044.984309
1113_21,3505.305432
1114_74,3383.969814
1115_9,3876.469819
1116_51,3308.224024
1117_95,3842.860628
1119_47,4253.369119
1120_114,2930.745683
1124_22,5340.710459
1126_41,3508.680384
1127_18,3967.202148
1131_46,4334.329093
1133_90,2815.005355
1140_74,3641.423474
1141_39,3496.327714
1143_104,2555.234281
1147_88,2782.593536
1155_64,2359.696376
1157_90,2060.578192
1160_45,2774.802915
1162_57,2576.33395
1163_42,6325.890735
1168_31,2969.278971
1172_86,2845.821497
1175_9,3682.279403
1178_32,3223.673866
1181_53,3157.263291
1184_67,5229.572415
1185_48,3359.214436
1187_104,2843.90768
1197_71,3159.588683
1200_62,3892.461697
1206_9,4161.686995
1211_2,2467.86885
1212_82,2965.479318
1216_88,2942.51636
1217_28,2857.592088
1222_51,3575.967909
1223_38,2859.475494
1228_7,2842.059521
1234_25,3015.582847
1240_14,2340.004266
1241_26,2335.609115
1242_80,4291.008751
1245_41,4098.272746
1253_74,2409.934329
1264_74,4227.114572
1271_23,3401.818347
1276_88,3538.23057
1280_47,3748.493801
1284_32,3642.21309
1287_32,3457.078068
1288_14,2451.174047
1290_14,2897.635476
1293_41,3937.459483
1298_97,3350.370303
1300_92,4192.604266
1302_14,2319.031017
1304_34,3661.241207
1306_41,4632.294558
1310_74,4714.765901
1312_60,3712.161356
1324_74,3339.050452
1329_74,3809.541267
1331_107,2900.461997
1335_10,4070.672003
1338_2,2808.379279
1340_69,3807.507697
1345_104,2835.518538
1347_1,4584.749025
1350_14,2628.366748
1352_34,4318.102578
1361_64,2406.143241
1365_72,3910.264778
1369_35,4053.37645
1383_9,3570.015784
1385_34,3443.59704
1398_30,2802.066249
1399_21,3320.603846
1400_93,3467.689049
1408_87,2718.107495
1409_7,2826.86843
1414_42,3745.919261
1415_14,2260.679146
1416_106,3753.113194
1423_63,4586.118625
1427_25,2715.605006
1428_33,3271.680904
1430_79,2423.386797
1431_1,4202.494753
1433_11,3355.257473
1436_20,2221.433851
1440_81,3776.342076
1441_13,3138.574277
1443_55,4182.558904
1447_16,3056.822805
1453_44,4032.324283
1454_21,3300.364996
1455_120,3308.29967
1456_7,3026.503278
1457_70,3501.56047
1461_9,3793.357763
1463_29,2890.385851
1465_8,3853.454745
1467_7,2867.43471
1473_97,3079.605324
1475_71,2863.002209
1476_44,3827.106084
1482_25,2809.232982
1483_83,3120.402373
1485_4,3514.720776
1486_1,4098.501691
1488_32,3208.767255
1494_34,3678.975118
1495_88,2977.289855
1496_73,3453.642599
1498_93,4252.899526
1499_74,3631.213027
1503_87,3356.535439
1505_34,3495.491544
1519_18,3666.619857
1521_18,4028.388189
1524_45,2817.790303
1526_1,3349.765968
1530_90,2472.254648
1534_76,3547.084412
1540_65,3732.285258
1546_1,4433.857086
1549_42,6241.956353
1553_1,4358.809772
1558_70,3278.989761
1559_62,3517.241844
1563_34,3473.422303
1568_30,2167.699224
1569_93,3399.617094
1570_23,3153.098405
1574_26,1807.724447
1575_95,3311.552484
1577_1,4033.955408
1578_53,3157.263291
1583_86,2228.903262
1584_86,2924.82296
1594_114,3409.904436
1596_104,4303.25035
1598_28,3014.258033
1599_74,3831.193859
1601_54,3854.373362
1604_105,2025.742399
1605_110,3311.860894
1607_11,3539.09439
1609_30,2411.842871
1611_8,4546.997839
1619_11,3193.481734
1624_32,4102.347029
1629_51,3101.780012
1631_99,2822.135762
1633_102,3290.457475
1635_52,4142.885637
1637_5,2648.75816
1638_93,3949.194572
1642_17,4521.865784
1644_76,4420.874011
1646_73,3464.340356
1648_39,3935.596337
1649_98,3387.977246
1650_18,3837.105518
1651_8,3790.097717
1658_11,2791.601213
1667_11,3123.355964
1669_65,3977.717917
1670_14,2297.109386
1672_106,4814.082777
1675_33,4259.749929
1676_9,3721.748758
1680_10,4182.167832
1686_13,3744.346037
1688_74,4450.295361
1690_34,4298.555653
1693_8,4611.818762
1695_74,3389.25954
1696_107,2830.746919
1701_14,2871.818117
1706_93,3959.46722
1708_15,4654.964362
1709_106,5259.168144
1712_17,3774.048405
1719_71,2932.545727
1720_13,3807.528861
1725_17,4294.908634
1737_51,3145.811458
1742_12,4915.671045
1743_7,3028.402665
1744_30,2704.169547
1751_53,2920.267117
1760_74,4157.22415
1766_17,3903.339252
1769_112,2284.162522
1770_76,3498.271998
1771_14,3104.841178
1776_114,3824.269593
1780_14,3227.837953
1782_9,3601.284427
1788_104,2768.439468
1789_11,3525.53096
1790_62,3148.039735
1795_56,4546.760381
1796_93,3871.821809
1802_34,3541.648713
1811_93,4026.137137
1812_53,2649.048695
1818_97,3450.545018
1824_65,3802.656138
1825_46,3492.268032
1828_11,3253.890306
1831_46,4354.36861
1833_93,4567.810016
1835_1,3786.302064
1841_98,3243.782851
1847_34,4007.080306
1848_39,4597.357774
1854_33,3674.806569
1855_70,3809.560311
1857_74,3526.448293
1863_97,3215.723139
1872_34,3420.960289
1874_21,3271.780953
1875_12,4053.872363
1880_11,3117.202655
1881_86,2312.794396
1887_46,3368.364777
1889_17,4707.12344
1895_39,3323.596947
1896_21,3378.845385
1897_10,5156.939083
1901_93,4437.256056
1906_48,3399.468034
1910_114,3431.084626
1912_31,2976.064809
1916_47,3416.158881
1917_93,4062.59056
1920_74,3535.246738
1923_17,3430.629251
1925_97,3380.778882
1926_8,3326.171577
1932_40,3645.53142
1934_9,3497.436395
1935_8,3394.666979
1937_98,2917.056803
1938_63,5689.01261
1944_7,2780.683815
1947_93,3842.881817
1948_48,4207.45493
1951_27,1680.227352
1952_14,2598.078508
1954_74,3024.764115
1956_88,3352.711993
1959_44,4859.165152
1960_88,2810.996869
1966_13,4694.730647
1967_17,3882.139819
1969_11,3247.852347
1975_70,4042.350546
1980_2,2717.929951
1981_97,3450.955432
1982_48,3625.920725
1983_114,3270.104161
1986_9,4427.097087
1987_2,2549.489746
1988_76,4037.477847
1999_41,3128.088356
2003_41,3970.138977
2004_60,3877.011206
2005_39,4427.428867
2008_46,4184.470852
2009_46,3649.824385
2013_14,2698.102272
2014_73,3673.14385
2015_8,3671.294487
2017_11,3324.045041
2037_69,3315.254393
2048_10,4778.874588
2049_34,3550.276443
2051_74,3776.859424
2056_39,4006.999605
2058_12,3705.920488
2060_74,3933.859661
2061_88,2996.47469
2064_71,2598.709121
2068_53,2432.905149
2069_57,2135.280518
2070_33,3273.199675
2072_9,4416.730784
2073_52,4620.508899
2083_2,2597.138545
2098_93,4073.924252
2100_92,3960.894744
2101_14,2440.608593
2102_34,3828.282934
2105_106,5714.583275
2106_114,3367.268343
2108_1,4071.432453
2109_93,3445.045896
2110_13,3920.501647
2114_11,3576.674854
2117_17,3846.372654
2118_82,2670.232641
2121_11,2864.942231
2135_62,3714.988604
2138_74,3530.25473
2140_76,3634.141116
2141_10,4513.839589
2151_38,3167.38924
2153_21,3682.542414
2154_1,3200.920956
2155_34,3945.244804
2158_41,3402.623386
2162_93,4144.128164
2163_17,3765.753175
2164_17,4061.848258
2165_76,3478.897751
2166_75,3172.722966
2169_21,3393.148676
2170_8,4121.117228
2179_106,3832.164954
2190_39,4186.9599
2192_91,3048.580768
2195_88,2873.35613
2198_62,2782.187746
2199_17,4330.161436
2201_58,3143.544273
2204_95,3561.370886
2214_25,2949.470599
2221_104,2363.284839
2226_86,2732.299332
2227_9,4426.065937
2229_82,2845.680067
2230_93,4253.992258
2235_61,3477.027834
2253_17,3990.842749
2256_10,4734.693971
2257_106,4703.135347
2258_67,4517.401656
2260_93,4209.063126
2261_86,2911.47566
2264_52,3278.784302
2267_17,3804.119047
2268_93,4237.239885
2269_17,5417.628782
2272_1,3700.83092
2273_86,2094.160666
2275_88,3577.532995
2277_62,2750.249108
2278_8,3704.051283
2285_8,4199.840415
2286_8,4140.210906
2291_10,5751.263374
2301_86,2611.472114
2302_1,3691.578285
2311_34,3501.625767
2312_8,3709.365576
2313_100,3053.965623
2315_54,3840.120415
2316_7,3052.597393
2324_39,3445.963936
2326_9,3568.981035
2330_106,4461.8033
2331_8,3959.779571
2336_33,3630.439733
2340_56,3825.492031
2348_8,4313.571283
2353_58,2968.978379
2369_104,2848.327741
2374_11,3716.855169
2375_106,5055.728185
2377_74,4720.767772
2378_8,3545.94214
2386_8,3770.870564
2392_8,3491.248553
2393_106,4814.082777
2399_11,3416.864883
2404_76,4003.592056
2405_12,5048.621717
2408_15,4148.111817
2409_11,3355.257473
2413_100,3088.626956
2421_64,2726.041001
2424_17,5415.34759
2426_8,3628.188572
2427_7,2656.137011
2429_74,3623.950762
2432_93,3871.821809
2435_11,3552.360136
2443_59,3081.274466
2445_25,2878.84581
2447_2,2803.36286
2449_17,3882.139819
2457_74,3578.090059
2461_1,3882.641844
2462_54,5167.80522
2464_21,2894.122229
2468_93,3602.159898
2474_107,2780.015524
2476_14,2270.480192
2478_13,3599.490738
2480_11,3579.648539
2483_16,3307.985523
2489_51,3503.130089
2492_13,4241.423139
2499_93,3981.837694
2503_13,3142.769774
2504_11,2829.222167
2505_39,4178.08722
2506_109,3788.878778
2507_50,2345.276976
2510_17,4049.385475
2515_34,3680.114348
2517_14,2492.188746
2520_17,3875.715216
2527_17,3864.940192
2532_76,3594.160174
2536_104,2900.80015
2537_70,3519.769461
2538_9,3416.43359
2543_16,3250.530011
2550_62,3272.835505
2552_112,2675.016051
2554_1,4098.501691
2560_95,2841.90356
2564_106,4653.802985
2566_11,3123.966635
2568_39,4419.786768
2569_69,3293.983498
2575_106,4192.974505
2576_86,2696.755544
2577_36,3002.507213
2587_10,4002.957213
2593_2,2770.555912
2595_34,3875.665998
2600_93,3310.384235
2605_63,4782.72567
2606_19,3951.680308
2607_11,3823.338291
2609_106,4329.716539
2610_39,4242.634296
2616_74,4636.737657
2617_39,3249.671422
2620_39,4515.845353
2621_76,3787.97008
2626_23,3354.015119
2628_106,4329.716539
2630_7,3931.475297
2634_39,4126.503719
2635_93,3822.877389
2639_74,3434.899218
2640_9,3920.80648
2645_2,2717.929951
2647_59,2586.844111
2649_106,4369.538778
2652_14,2638.965045
2656_8,3695.633633
2662_112,3262.484324
2663_76,3815.586475
2672_17,4049.385475
2673_39,4694.785786
2674_25,2851.152788
2676_23,3862.390634
2677_65,3984.837741
2682_46,4995.155941
2683_11,4332.037009
2686_11,3290.315143
2690_10,4903.745073
2695_11,3514.635543
2700_10,4359.568191
2702_11,3374.800179
2706_76,5427.742728
2707_34,3661.241207
2708_1,3516.454791
2711_70,3282.732764
2714_51,3036.785593
2719_13,4140.811785
2721_35,3984.740192
2730_17,3279.824889
2734_4,4556.600505
2739_65,3952.253511
2741_69,3152.186037
2745_13,4096.576221
2748_23,4015.228792
2751_25,3251.156452
2752_74,3665.531044
2754_21,2692.92807
2760_76,3659.550574
2773_106,4608.969448
2774_11,2919.285274
2776_13,3631.762701
2777_11,3164.425893
2786_76,4124.614437
2788_99,2662.822686
2794_9,3009.112921
2798_79,2458.298157
2802_14,2339.896214
2804_73,2950.873196
2807_106,4370.181758
2811_34,4320.823183
2812_53,2407.770007
2814_47,3434.139783
2818_74,4051.302217
2819_8,3573.590431
2825_17,3652.107107
2829_11,3182.455095
2831_65,3130.829184
2836_74,4109.399735
2840_106,3846.808123
2843_39,4704.099124
2844_51,3016.305735
2846_39,4662.642198
2848_22,4132.875371
2849_95,4106.52984
2850_10,5386.213015
2851_69,3114.450169
2855_34,3678.975118
2862_9,3831.380758
2865_93,4091.204294
2868_16,3413.367104
2870_93,3188.566091
2872_67,5238.086421
2874_4,4179.134971
2876_11,3347.417611
2878_113,4193.722305
2879_9,4325.9458
2880_106,4093.324488
2881_39,4335.769401
2882_13,5468.525681
2886_41,3409.657277
2887_46,4287.296679
2888_92,3262.026982
2889_54,4242.89387
2893_39,4257.539823
2900_48,3644.94383
2903_91,2831.440657
2906_17,3282.629723
2909_9,4194.97276
2911_8,3951.713816
2912_17,3802.987114
2913_53,2736.114269
2917_14,2829.567553
2921_41,3911.161239
2922_11,3086.818655
2923_7,2998.53435
2931_11,3722.665762
2932_9,3266.189578
2933_34,4979.77387
2934_11,2996.353048
2935_7,3073.894794
2936_21,3394.03397
2939_14,2305.411318
2950_39,3925.104728
2951_19,4103.540261
2954_74,4923.832684
2955_9,3681.263661
2961_107,3859.868058
2963_11,2889.694988
2965_98,3422.426712
2966_88,3088.991979
2970_109,3848.08141
2974_56,3966.456247
2975_46,3347.531042
2979_11,3281.881929
2980_106,5252.457575
2981_16,3345.236763
2983_46,3987.079929
2985_2,3155.382716
2987_7,3005.879775
2988_11,3435.258703
